"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co","elas_lambda_CH","elas_lambda_BJ","elas_lambda_BR","elas_lambda_R","elas_lambda_Co"
0,0.681222156781955,0.912600279476758,0.881996728973622,1.08127875359584,1.31986729711658,NA,NA,NA,NA,NA
0.1,0.736138420708631,0.912918536111902,0.882123514323386,1.08111052988908,1.31986729412629,0.0640512153740174,0.000364823578243849,0.000150227472614897,-0.000161322485044899,-5.03255143368156e-10
0.2,0.77552327784175,0.913266387890737,0.882261767345804,1.08092993872126,1.31986729578812,0.0920248845502378,0.000795519152505979,0.000326973568506588,-0.000345918815360229,1.26106617942106e-08
0.3,0.80750586081804,0.913645057014809,0.882411990601812,1.08073661588519,1.31986731077069,0.110480045400159,0.00129588752171653,0.000531918415650725,-0.000554834330193422,3.04610620222474e-08
0.4,0.834998800617798,0.914055708709846,0.882574681471132,1.080530185537,1.31986732259116,0.124324168493515,0.00186944046741497,0.000766702821236824,-0.000789158664620211,1.64992643686025e-08
0.5,0.859411126607985,0.914499443380476,0.88275032685093,1.08031026100604,1.31986732165911,0.135398973749026,0.00251934161251203,0.00103291313841555,-0.00105002881958535,-1.08385701713687e-08
0.6,0.881544154446284,0.914977283310777,0.88293940323535,1.08007644277374,1.31986731686897,0.144604156262789,0.00324834671511692,0.00133207170341064,-0.00133863435991333,-4.23216173140821e-08
0.7,0.901902776162018,0.915490164531359,0.883142373049222,1.07982831852683,1.31986730303947,0.152450146841783,0.00405876770654187,0.00166561872728169,-0.00165621807493866,-5.34860927495587e-08
0.8,0.920828500349973,0.916038929572336,0.883359682799752,1.07956546243689,1.3198672966991,0.159255999921754,0.00495239202272561,0.00203490095701306,-0.00200408403351124,-7.71703341421279e-08
0.9,0.938564642056939,0.916624310503189,0.883591760415201,1.07928743355023,1.31986727757582,0.16523497816323,0.00593045345083292,0.00244115326513397,-0.00238360312565037,9.51562688289889e-09
1,0.955291546602208,0.917246929084634,0.883839012335526,1.07899377512576,1.31986729949007,0.170536820399096,0.00699357922860682,0.00288549452590437,-0.0027962117815264,7.68629546550829e-08
1.1,0.971147118639274,0.917907278317339,0.884101822941576,1.07868401452899,1.3198672978656,0.175270713046226,0.008141743726039,0.00336890920530781,-0.00324342587941487,-8.62529208765298e-08
1.2,0.986239482594334,0.918605722870875,0.88438055029366,1.07835766028059,1.31986727879145,0.179518635218806,0.0093742732784349,0.0038922267852328,-0.00372684967150329,-8.65242005182867e-08
1.3,1.00065517962498,0.91934248849756,0.884675524552608,1.07801420171366,1.31986727883219,0.183343616747006,0.0106897933113364,0.00445613067442571,-0.00424817364675275,6.99894346678819e-08
1.4,1.01446467332496,0.920117658437701,0.884987047177025,1.07765310773866,1.31986729300326,0.186795034457713,0.0120862185229223,0.00506113428130443,-0.00480918546476965,8.25441328519513e-08
1.5,1.02772617442639,0.920931166081371,0.885315387164462,1.07727382547626,1.31986729439609,0.189912239746166,0.0135607439291332,0.00570752075958315,-0.00541178568858506,1.10149146698977e-08
1.6,1.04048837727577,0.921782793333646,0.885660774637161,1.07687577772914,1.31986729494169,0.192727021290823,0.0151098839501536,0.00639544908637574,-0.00605799692335644,-1.73973249138606e-08
1.7,1.0527924526314,0.922672169960686,0.886023411963461,1.07645836170772,1.31986729152582,0.195265293670281,0.0167294828346576,0.00712486443516091,-0.00674996750950765,1.31520453666163e-08
1.8,1.06467353344482,0.923598773125337,0.886403456601469,1.07602094726245,1.31986729698392,0.197548411586939,0.0184147455332336,0.00789547546017085,-0.00748999062605941,2.7617096339785e-09
1.9,1.07616184878592,0.924561929558676,0.886801031601173,1.07556287428456,1.31986729193083,0.199594123759783,0.0201602752819432,0.00870685933211912,-0.00828051894960604,7.86974239340866e-09
2,1.08728359462715,0.925560817653243,0.887216219952809,1.07508345055066,1.31986729807729,NA,NA,NA,NA,NA
