"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co","elas_lambda_CH","elas_lambda_BJ","elas_lambda_BR","elas_lambda_R","elas_lambda_Co"
0,0.986239489618229,0.918613561349247,0.884382250476656,1.07835766043225,1,NA,NA,NA,NA,NA
0.1,0.98623948703751,0.918612870293646,0.884382100088975,1.07835766068041,1.09437983248479,-2.75249088580847e-10,-1.02428928650885e-06,-2.27814047215908e-07,-1.63109120164383e-10,0.0833367039257849
0.2,0.986239489075306,0.918611679498604,0.884381847527325,1.07835766008047,1.18240401616427,5.12467861964329e-10,-3.10841316390632e-06,-6.84495400584533e-07,-4.57556892120371e-10,0.13218050236633
0.3,0.986239487542926,0.918610014869009,0.884381494733668,1.078357660187,1.25067058934135,-5.19940140173203e-09,-5.56680977263922e-06,-1.23554893093946e-06,1.9457350369468e-10,0.131324657739547
0.4,0.986239485656736,0.918608270347132,0.884381119062918,1.07835766022035,1.29189994089105,-4.79270620004821e-09,-6.9619813520444e-06,-1.57592837057043e-06,-3.22768424652516e-10,0.0944430532765771
0.5,0.986239485179548,0.918606817202185,0.88438079787302,1.07835766001297,1.31167607681414,-2.45297682396566e-09,-6.93163287953223e-06,-1.60649303578188e-06,-5.64029133817107e-10,0.0533046261531817
0.6,0.986239484689047,0.918605723369045,0.884380550762281,1.07835765997706,1.31986730205451,-4.73237888478413e-09,-6.23610978360999e-06,-1.47753479989868e-06,-1.63776886338094e-10,0.0258009604573973
0.7,0.986239483623795,0.918604907693472,0.88438036230534,1.0783576599541,1.32302735817058,-4.91003881339524e-09,-5.48658585546638e-06,-1.32341691431383e-06,6.05000587028239e-11,0.0114913100044829
0.8,0.986239483305483,0.918604283367704,0.884380216361158,1.0783576599957,1.32421110705941,-7.9403470597154e-09,-4.87252604091173e-06,-1.19264197530948e-06,7.79852753470458e-10,0.00490006113524394
0.9,0.986239481666024,0.918603788712649,0.884380098618098,1.07835766016434,1.32464953701572,-3.9670003754555e-09,-4.39722624015604e-06,-1.08663076191105e-06,8.09556709425364e-11,0.00203865070567578
1,0.986239482436058,0.918603385743552,0.884380002806798,1.0783576600151,1.32481121766239,NA,NA,NA,NA,NA
