"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co","elas_lambda_CH","elas_lambda_BJ","elas_lambda_BR","elas_lambda_R","elas_lambda_Co"
0,0.986239483944547,0.91860572312385,0.884380550196689,1.07835765999066,1.31986729392641,NA,NA,NA,NA,NA
0.1,0.986239486177216,0.918607675420445,0.884380978605897,1.07835766006676,1.29017911184771,6.29524103989714e-10,2.06145982411114e-06,4.66668924864654e-07,2.10129796844986e-10,-0.0267564813183162
0.2,0.98623948518627,0.918609510469484,0.88438137562293,1.07835766044385,1.25082598731954,2.17127784723545e-09,3.74416870592624e-06,8.40642793296349e-07,1.2999405939264e-10,-0.0734553999013838
0.3,0.986239488318616,0.918611114849427,0.884381722054727,1.07835766020694,1.19829918874211,5.94304582365293e-09,4.65454120390259e-06,1.04154162243706e-06,-2.41951228179164e-10,-0.149500015908351
0.4,0.986239489093781,0.918612360945007,0.884381989703179,1.07835766026991,1.1313954887996,-2.96650250908226e-09,4.54687568727471e-06,1.01333199948088e-06,9.19342351441943e-10,-0.25647392325514
0.5,0.986239486855775,0.918613203257532,0.884382170141012,1.07835766070263,1.05321246885931,2.98593795799164e-10,3.6809094382199e-06,8.30800806020927e-07,5.0811067481745e-10,-0.383768796294499
0.6,0.986239489211575,0.918613713477811,0.884382283601347,1.07835766048908,0.969719456233002,7.33357487282432e-09,2.62054126078648e-06,6.10013648093684e-07,-8.3994408047502e-10,-0.515834178379423
0.7,0.986239489266662,0.918614005679245,0.884382349969433,1.07835766040071,0.886474322537813,-9.66230275647511e-10,1.75819427283802e-06,4.22283811524106e-07,3.23625730802728e-10,-0.642560603010223
0.8,0.986239488939308,0.918614174935492,0.884382390304304,1.07835766058879,0.806972749020723,2.48007904054574e-09,1.19016153445836e-06,2.98910262259255e-07,-7.66718167201792e-11,-0.76142541134535
0.9,0.98623948987815,0.918614279004059,0.884382416057176,1.07835766038004,0.732861933195915,5.74664214437228e-09,8.48732184310475e-07,2.2921002176765e-07,-7.94666329016589e-10,-0.87378967994752
1,0.986239490198767,0.918614348192715,0.884382435350818,1.07835766039836,0.664668928120061,NA,NA,NA,NA,NA
