"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.608033745923438,0.912520792539404,0.881965107127353,1.08170746914804,1.3198672932446
0.1,0.653253538205077,0.912712965179525,0.882042553194446,1.08168042188517,1.31986728172641
0.2,0.684110785841945,0.912910490254053,0.882122175260189,1.0816525797908,1.31986730095888
0.3,0.708435490499843,0.913113453098137,0.882204010380833,1.08162393477177,1.31986732049585
0.4,0.728938214812795,0.913321936511558,0.882288092677953,1.08159447974985,1.31986730976382
0.5,0.746896159181862,0.913536022250357,0.882374458507152,1.08156420679634,1.31986729420625
0.6,0.763018991487698,0.913755792042009,0.882463144224586,1.08153310685036,1.31986732588864
0.7,0.777744580116862,0.913981322515351,0.882554183748576,1.08150117326614,1.31986730265959
0.8,0.791363733028267,0.9142126905576,0.88264761268368,1.081468396933,1.31986731342409
0.9,0.804080360128348,0.914449971999764,0.882743466046152,1.08143477052864,1.31986729377873
1,0.81604350128497,0.914693239225234,0.8828417784594,1.08140028514853,1.31986729390517
1.1,0.827365814426373,0.914942562328576,0.882942584139072,1.0813649326356,1.31986729709625
1.2,0.838134757723642,0.915198008151979,0.883045916220342,1.08132870498974,1.31986728390729
1.3,0.848419819900001,0.915459642556659,0.88315181004759,1.08129159288212,1.31986731275841
1.4,0.858277137960061,0.915727527382595,0.883260296031378,1.0812535890694,1.31986728860429
1.5,0.867752960993966,0.916001723488101,0.883371409233117,1.08121468396584,1.31986730754972
1.6,0.876885796875356,0.916282288244878,0.883485181552117,1.0811748693221,1.31986733235238
1.7,0.885708117994617,0.916569273070151,0.883601642192069,1.08113413716194,1.3198673010293
1.8,0.894247665917277,0.916862730192331,0.883720824927976,1.08109247792337,1.31986729721599
1.9,0.902528277569986,0.917162706749544,0.883842759369762,1.08104988314549,1.31986727323139
2,0.910570659815514,0.917469247654389,0.883967475774878,1.08100634349405,1.31986729375598
