"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.733891886267868,0.91467552561786,0.882844617689803,1.08172239584604,1.31986730206381
0.1,0.780087233194729,0.914859769142012,0.882915701774972,1.08159228668561,1.3198672813005
0.2,0.816269537502865,0.915054881810485,0.882990852676101,1.08144390843602,1.31986729669893
0.3,0.846865966372182,0.915261013212123,0.883070141678896,1.08127638304938,1.31986732736988
0.4,0.873800581147049,0.915478295241442,0.88315363823457,1.08108880304993,1.31986730679873
0.5,0.898100844473725,0.915706840324206,0.883241405522793,1.08088022987971,1.31986730472859
0.6,0.920387556793351,0.915946738663363,0.883333500213916,1.08064969272635,1.31986727079522
0.7,0.941068196044613,0.916198063117335,0.883429978512827,1.08039618270561,1.31986731938045
0.8,0.960426434013453,0.9164608585508,0.883530884588492,1.08011865584023,1.31986729633184
0.9,0.978668799555068,0.916735153429134,0.883636263743104,1.07981602281785,1.3198673280815
1,0.995950832078682,0.917020947801368,0.88374614873905,1.07948715159752,1.31986726924159
