"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0.1,0.680421814475177,0.913585490604926,0.882403440370612,1.08187093937935,1.31986731512728
0.2,0.704615670615061,0.913757079266359,0.882472458036286,1.08184250374814,1.3198673136923
0.3,0.73311148504479,0.913985044262576,0.882563870908129,1.08179363174575,1.31986732318073
0.4,0.76674164255251,0.914299419339313,0.882689440893331,1.0817053243892,1.31986731406189
0.5,0.806375193253864,0.914751987424941,0.882869358752261,1.08153742254348,1.31986732239013
0.6,0.852831129057214,0.915435304029625,0.88313962234934,1.08120163378994,1.31986730853075
0.7,0.906746943033677,0.916519691743471,0.883566673699028,1.08049549144573,1.31986727296784
0.8,0.968347281368576,0.918323185966303,0.884276462486404,1.07892927699256,1.31986733007081
0.9,1.0369058361294,0.921432850026438,0.885511117920527,1.07521071849484,1.31986729504198
1,1.10915661716617,0.926898886293948,0.887745713318716,1.06522315557613,1.31986728667273
