"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
1,1.11889405431294,0.877900659702815,0.87796333545207,1.29176571080692,1.71764290711381
2,1.118894056657,0.877906276320272,0.877950115018878,1.32821244944705,1.71764118642186
3,1.11889405673706,0.877906547418216,0.877945787477297,1.34006756487753,1.71764179003988
4,1.11889405823463,0.87790646871579,0.877943606779728,1.34585515853747,1.71764169141865
5,1.11889405617387,0.877906344192034,0.877942281148584,1.34925320154387,1.71764102104275
6,1.11889405634587,0.877906220679493,0.877941384055289,1.35148074498478,1.71764147343438
7,1.11889405716811,0.877906108465009,0.877940734297127,1.35305145308351,1.71764138250184
8,1.11889405721557,0.877905992905601,0.877940225209434,1.35421763140609,1.71764146574484
9,1.11889405826795,0.877905891734754,0.877939824754055,1.35511735996717,1.71764175638091
10,1.11889405471476,0.877905795010523,0.877939493610109,1.35583243019045,1.71764203120192
11,1.11889405731482,0.877905698740498,0.87793920948712,1.35641432179707,1.71764195045646
12,1.11889405887061,0.877905612496138,0.877938969992884,1.35689702694908,1.71764152461928
