"roCo","roR","lambda_PBJ","lambda_PBR"
0,1,0.891771118377673,0.892596216171418
0.1,1,0.893685312363451,0.893790102681932
0.2,1,0.897177376771216,0.896030657754072
0.3,1,0.903670721179221,0.900329170000762
0.4,1,0.915451083932164,0.90851515741237
0.5,1,0.933667381875041,0.922418044505548
0.6,1,0.952367841312022,0.939058160690002
0.7,1,0.964055784657627,0.951234083205102
0.8,1,0.969414061634891,0.957499672492929
0.9,1,0.971471306516766,0.960143416128487
1,1,0.972088714560659,0.961062419245221
0,6,0.893143169148259,0.893592599631645
0.1,6,0.895494259653402,0.895104904909279
0.2,6,0.899619585324418,0.897821609949499
0.3,6,0.907024869394074,0.902844574347974
0.4,6,0.920032396433197,0.912103754428616
0.5,6,0.939506596116799,0.927334247158961
0.6,6,0.958904917063606,0.945001312728448
0.7,6,0.970958206518205,0.957783850783633
0.8,6,0.976674060480157,0.96453674236881
0.9,6,0.97906050672251,0.967595587222515
1,6,0.979937557782999,0.968834441065397
0,11,0.894123839180773,0.89429409847429
0.1,11,0.896754856769964,0.896010693483141
0.2,11,0.901268903548322,0.899022527407854
0.3,11,0.909206682001938,0.904475782640326
0.4,11,0.922890529978405,0.914339905244485
0.5,11,0.942995946723996,0.930262434544722
0.6,11,0.962666109773634,0.948388076611686
0.7,11,0.974826189677162,0.961395746702776
0.8,11,0.980677007671181,0.968339742823115
0.9,11,0.983208069881029,0.971580235572299
1,11,0.984206808140078,0.972968540278108
0,16,0.894888907795155,0.894837504799255
0.1,16,0.897721624933397,0.896702390106584
0.2,16,0.902508317048775,0.899923584629078
0.3,16,0.910808691295627,0.905674262093728
0.4,16,0.924938119654503,0.915943536310105
0.5,16,0.945437078714482,0.932308563619379
0.6,16,0.965247753362776,0.950699332920476
0.7,16,0.977449651614348,0.963820986511147
0.8,16,0.983373125013266,0.970868774816358
0.9,16,0.985991915796151,0.974217476539122
1,16,0.987068260883796,0.975699400983951
0,21,0.895516007182249,0.895281351014149
0.1,21,0.898504270329793,0.897261409658876
0.2,21,0.903497054219731,0.900642590547204
0.3,21,0.912065820892597,0.906616206686121
0.4,21,0.926517719582541,0.917182529134407
0.5,21,0.947290930927456,0.933861813958825
0.6,21,0.967185450264624,0.95242748306303
0.7,21,0.979404411934879,0.96561567371859
0.8,21,0.985374042245447,0.972729323578918
0.9,21,0.98805391925021,0.976151959650021
1,21,0.989186844071478,0.97770097492743
0,26,0.896047179036522,0.89565656017568
0.1,26,0.899160383386719,0.89772986857939
0.2,26,0.90431658436481,0.901239137107491
0.3,26,0.913094449777308,0.907388366280801
0.4,26,0.927794229596816,0.918185336795594
0.5,26,0.948771718973222,0.93510241637579
0.6,26,0.968720631271452,0.953792933370418
0.7,26,0.98094571009396,0.96702362767461
0.8,26,0.986947799036437,0.974183390445505
0.9,26,0.989673902725166,0.977660973155627
1,26,0.99085087574158,0.979261418575153
0,31,0.896507381585541,0.895981291510501
0.1,31,0.899724373893789,0.898132640963636
0.2,31,0.905014100867286,0.901747533882157
0.3,31,0.913961333794924,0.908040316457251
0.4,31,0.928859347143437,0.91902331685738
0.5,31,0.949996698147464,0.936128831528233
0.6,31,0.9699821465826,0.954912743064153
0.7,31,0.982208144638154,0.968172457006651
0.8,31,0.988234102681198,0.975365975897004
0.9,31,0.990997232382748,0.978886868918967
1,31,0.992210172659309,0.980528853841781
0,36,0.896913092191345,0.896267445101119
0.1,36,0.900218116338662,0.898485420291821
0.2,36,0.905620078488356,0.902189834022555
0.3,36,0.914708122677942,0.908602938768547
0.4,36,0.929769377048161,0.919740297124631
0.5,36,0.951035864207751,0.936999757045628
0.6,36,0.97104724341055,0.955856697928655
0.7,36,0.983270919573771,0.969136706605345
0.8,36,0.989315689263738,0.976356528136405
0.9,36,0.992109066836375,0.979912498264133
1,36,0.993352344516917,0.981589011398504
0,41,0.897275738413075,0.896523217399943
0.1,41,0.900656429738005,0.898798864714423
0.2,41,0.906154589207656,0.902580510005559
0.3,41,0.915362263001265,0.909096567992844
0.4,41,0.930561131260729,0.920364930005058
0.5,41,0.951934726662651,0.937753266390229
0.6,41,0.97196483169181,0.956668958402018
