"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
1,1.11889405751457,0.877899806416609,0.877944949037761,1.31157157287683,1.71764139257605
2,1.11889405771556,0.877887437099409,0.877949399035221,1.25449262304672,1.71764197131404
3,1.118894056147,0.877847504316306,0.877959475110245,1.08911112099844,1.71764218432472
4,1.11889405843297,0.883560625998889,0.883713852426043,0.158470545727803,1.71764165997902
5,1.11889406410419,0.892908984351552,0.893423968979475,0.0774135618186048,1.71764270857405
6,1.11889406599767,0.899790303326328,0.898292071094303,0.00943145743315631,1.71764307426192
7,1.11889403115817,0.903456592783025,0.900960986662045,0.085727548520801,1.71764490496733
8,1.11889403027392,0.905694783232621,0.902645765053581,0.0858285522688785,1.71764444828361
9,1.11889402942516,0.907178020423297,0.903789639359285,0.0858293818736392,1.71764454643509
10,1.11889403062489,0.908221482769582,0.904608532620053,0.0856172979468236,1.71764419037195
11,1.11889402937387,0.908989722622351,0.905219314251869,0.0838431831854287,1.71764566936575
12,1.1188940294558,0.909575662964677,0.90568986854347,0.0816373857197305,1.71764457227985
13,1.11889402726914,0.910035553928383,0.906062174371068,0.082006651545461,1.71764680627423
14,1.11889402926875,0.910404893752109,0.90636317602952,0.0830416962876345,1.71764484512653
15,1.11889402869106,0.910707230262643,0.906610939756146,0.085011194864171,1.71764494946289
16,1.11889402581894,0.91095874072021,0.90681803912834,0.0842215824169217,1.71764692805961
17,1.11889402770804,0.911170811093496,0.906993402513668,0.0845826499258274,1.71764610066375
18,1.1188940270822,0.911351825772342,0.907143630541958,0.085156115919822,1.71764656625498
19,1.11889402845342,0.911507898181602,0.90727359817353,0.0845325745826407,1.71764515913431
20,1.11889402810426,0.911643662600225,0.907386986658859,0.072575960625473,1.7176455253234
21,1.11889402774755,0.911762707575412,0.907486679314797,0.0730117741002278,1.71764572823663
22,1.11889402702228,0.911867841806004,0.907574941219184,4.9868902496147e-09,1.7176463091577
23,1.11889402775678,0.91196129354857,0.907653577902884,1.83976268054929e-09,1.71764509738552
24,1.11889402595732,0.912044847245419,0.907724031202245,6.72151612701842e-10,1.71764678264504
25,1.11889402551091,0.91211992383001,0.907787464228301,2.53330310464562e-10,1.71764700676248
26,1.11889402810445,0.912187726594199,0.907844867781874,0.0736665335223104,1.71764568687551
27,1.11889402878675,0.912249199231523,0.907896997858986,0.0722080745045553,1.71764526524487
28,1.11889402677779,0.912305163741431,0.907944518708494,1,1.71764636578416
29,1.11889402675837,0.912356330552126,0.907988040889111,NA,1.71764626361488
30,1.11889402827616,0.912403240083668,0.908027995151217,NA,1.71764530309155
31,1.11889402884172,0.912446419264843,0.908064814106336,NA,1.7176451395601
32,1.11889402878756,0.912486221548082,0.908098794893078,NA,1.71764499195412
33,1.11889402602312,0.912523080073641,0.908130289934497,NA,1.71764667293836
34,1.11889402662379,0.912557255931647,0.908159509528163,0.0722056072208304,1.7176455035735
35,1.11889402498619,0.912589083687636,0.908186741010387,0.0851517180742705,1.71764697751906
36,1.11889402685912,0.912618756461199,0.90821213964809,0.0652210688240266,1.71764656957167
37,1.11889402630536,0.912646440579803,0.908235836443023,NA,1.71764552590787
38,1.1188940248367,0.912672450483049,0.90825809006552,0.0800633849572983,1.71764716818435
39,1.11889402673467,0.912696851698227,0.908278962246561,NA,1.71764664053883
40,1.11889402630125,0.912719773409719,0.908298545122499,NA,1.71764554823529
41,1.11889402627053,0.912741414653433,0.908317012754364,NA,1.71764554667797
42,1.11889402716574,0.91276186423296,0.908334433263637,NA,1.71764602288801
43,1.11889402576969,0.912781238353998,0.908350902387205,NA,1.71764692954741
44,1.11889402622211,0.912799607775349,0.908366470726888,NA,1.71764683496047
45,1.11889402600075,0.912817062698961,0.908381216666514,NA,1.71764689197937
46,1.11889402611594,0.91283369386218,0.908395213832583,NA,1.71764687045265
47,1.11889402625365,0.912849541390601,0.908408490407385,NA,1.71764654848749
48,1.11889402657243,0.912864723954613,0.908421147929797,NA,1.71764639057531
49,1.11889402429544,0.912879284782863,0.908433218726796,NA,1.71764709366181
50,1.11889402700357,0.91289323203054,0.908444712229372,NA,1.71764542932184
51,1.11889402672751,0.912906655234913,0.908455691987881,0.0796139854439348,1.71764548038325
52,1.11889402414183,0.912919626751416,0.908466223542103,NA,1.71764717573187
53,1.11889402624904,0.912932141282013,0.908476308466649,0.0831620517493954,1.71764676877729
54,1.11889402655452,0.912944233315171,0.908485964712847,NA,1.71764669401898
55,1.11889402660213,0.9129559593388,0.908495242023016,NA,1.71764667466055
56,1.1188940263694,0.912967306012405,0.908504119803085,NA,1.71764558161781
57,1.11889402624044,0.912978381010288,0.908512706255,NA,1.717645610908
58,1.11889402662989,0.912989176632864,0.90852098865992,NA,1.71764555215439
59,1.1188940247613,0.912999727635722,0.908528990155892,NA,1.7176472100353
60,1.11889402566391,0.913010035756271,0.908536727357578,0.0765254038692925,1.71764701164047
61,1.11889402627116,0.913020152610842,0.908544233919818,NA,1.71764680996828
62,1.11889402664674,0.913030053088963,0.908551483579309,NA,1.71764671770326
63,1.11889402673264,0.913039789301304,0.908558531727952,NA,1.71764669512677
64,1.11889402623467,0.913049336632619,0.908565351469094,NA,1.71764562652981
65,1.11889402804564,0.913058780234537,0.908572036295736,0.0828887802238159,1.71764540083185
66,1.11889402573185,0.913068127321061,0.908578561993094,0.0826499834972534,1.71764696248834
67,1.11889402815266,0.913077324622885,0.908584913303864,0.0814094073038415,1.71764544163
68,1.11889402628564,0.913086409135799,0.908591095095377,0.0804917009737697,1.71764557306971
69,1.11889402815822,0.91309545378244,0.908597209342363,0.0812874945633653,1.71764541118095
70,1.11889402779851,0.913104379582794,0.908603157272792,0.083346256677507,1.717645509803
71,1.11889402449248,0.91311327397233,0.908609021288589,0.0818288045723474,1.71764701144893
72,1.11889402545831,0.913122108891066,0.908614795155616,0.0824809875462803,1.71764704439983
73,1.11889402548325,0.913130882254796,0.908620468649882,0.0820016049630662,1.71764704476049
74,1.11889402836977,0.913139608237241,0.908626063294149,0.0804405193616857,1.71764530130522
75,1.11889402634282,0.913148332682463,0.908631602908327,0.0791221054680488,1.71764681357716
76,1.11889402965049,0.913156951003576,0.908637031117683,0.0831488817584614,1.71764403367234
77,1.11889402964933,0.913165601735706,0.908642438593998,0.0828935329212174,1.7176440689688
78,1.11889402964304,0.913174236866862,0.908647798633801,0.0826514065523982,1.71764409680004
79,1.11889402417073,0.913182895346,0.908653135137645,0.0824677384863212,1.71764711982809
80,1.11889402416746,0.913191512271804,0.908658418548377,0.082425631837674,1.71764712912227
81,1.11889402416642,0.913200126702086,0.908663672950712,0.0826444018790752,1.71764713811335
82,1.11889402490778,0.913208745347514,0.908668908626595,0.083319527399091,1.71764692042568
83,1.11889402494032,0.913217366220048,0.908674122324625,0.0827415360634224,1.71764691316305
84,1.11889402549511,0.913225994161349,0.908679322724338,0.0819903973415694,1.71764699670118
85,1.11889402735093,0.913234636683624,0.908684520604038,0.0828108329417638,1.71764531673482
86,1.11889402738087,0.913243287993165,0.908689708376087,0.0831452129288739,1.71764532095181
87,1.11889402436963,0.913251953649568,0.908694888817582,0.0684560302114335,1.71764713335104
88,1.11889402670772,0.913260620572786,0.908700070478063,0.0701287158697256,1.71764534144296
89,1.1188940253042,0.913269351580715,0.908705295970394,0.0708676430673119,1.71764710483066
90,1.11889402553562,0.913278074976023,0.908710510125145,0.066324607911075,1.71764707115808
91,1.11889402550466,0.913286824491944,0.908715741234951,NA,1.71764708589793
92,1.11889402591101,0.913295584159743,0.908720975931687,0.0714918786206892,1.71764684572514
93,1.11889403005887,0.913304435451877,0.908726302196877,0.0838650674904838,1.71764430006973
94,1.11889402600744,0.913313223460815,0.90873155932868,0.0842592639499916,1.7176465358971
95,1.11889402686556,0.913322040477896,0.908736852403483,0.0839441398782889,1.71764544248162
96,1.1188940246343,0.913330919241977,0.908742203917193,0.0831396472935956,1.71764699468434
97,1.11889402883018,0.913339836969092,0.908747611160245,0.0817156293811109,1.71764561132272
98,1.11889402912746,0.913348733158119,0.908752995475512,0.079629188775463,1.71764489505576
99,1.11889402908805,0.913357698058837,0.90875845189213,0.081294524835172,1.7176450167757
100,1.11889402455434,0.91336666358802,0.908763904386065,0.0829465058285434,1.717647011083
101,1.1188940296393,0.913375674762143,0.908769441848304,0.0823033218013681,1.71764468371686
102,1.11889402962302,0.913384704791672,0.908774994214167,0.0815218577430179,1.71764468193303
103,1.11889402886382,0.913393762369668,0.908780587437004,0.0805458997179067,1.71764513124528
104,1.11889402657328,0.913402806790354,0.908786174259323,NA,1.71764541000727
105,1.11889402657296,0.913411914246744,0.908791849870011,NA,1.71764540952927
106,1.11889402484887,0.913421066853727,0.90879758639332,0.0568707928364947,1.71764699252807
107,1.11889402490586,0.913430228150629,0.90880334868397,0.0536378355679075,1.71764721865274
108,1.11889402524623,0.913439409752974,0.908809155571882,0.0735942059619496,1.71764713677405
109,1.11889402995827,0.913448603838091,0.908815006975315,0.0784434759673687,1.71764410975439
