"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.838134762443478,0.91519800822502,0.883045916320937,1.08132870483759,1.31986729073363
0.1,0.838134772840378,0.915198965966848,0.883046123805926,1.08132870473355,1.29017910912934
0.2,0.838134774468197,0.91519985350451,0.883046314374302,1.08132870446706,1.25082598566483
0.3,0.83813476721133,0.915200620937168,0.883046477656465,1.08132870465141,1.19829918458082
0.4,0.83813478259406,0.915201218194671,0.883046605686572,1.08132870445339,1.13139548886883
0.5,0.838134772948398,0.915201628457901,0.88304669419141,1.08132870465945,1.05321246904007
0.6,0.83813477172278,0.915201885327423,0.883046751267629,1.08132870465683,0.969719456216221
0.7,0.838134763006077,0.915202040966372,0.883046787145162,1.08132870478749,0.886474321025186
0.8,0.838134771156023,0.915202139106326,0.883046812054591,1.08132870451865,0.806972744106822
0.9,0.838134747925536,0.915202203407969,0.883046827734777,1.08132870518372,0.73286187673903
1,0.838134772117355,0.915202251623365,0.883046842280676,1.08132870467023,0.66466886233057
