"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
1,1.11889405394834,0.878192867192167,0.878074769539288,1.29176679077969,1.71764167389355
2,1.11889405627366,0.878108586952213,0.878034759128754,1.32821247386042,1.71764157606762
3,1.11889406023231,0.878080561360236,0.878021462540862,1.34006745342752,1.71764277865681
4,1.11889405618896,0.878066169939913,0.878014622719539,1.34585520972726,1.71764150133451
5,1.11889405594363,0.878057218867041,0.878010362555214,1.34925319749656,1.71764140329893
6,1.11889405621374,0.878050982349473,0.878007382625678,1.35148075475076,1.71764156546605
7,1.11889405703981,0.878046320018981,0.878005150054852,1.3530514704584,1.71764131299813
8,1.11889405543292,0.878042626726202,0.878003364641293,1.35421763893593,1.71764153951307
9,1.11889405585846,0.878039611670986,0.878001904151088,1.35511740379446,1.71764093434693
10,1.1188940557637,0.878037062370581,0.878000657533278,1.35583245390457,1.71764161957523
11,1.11889405583094,0.878034865080733,0.877999576249327,1.35641434908328,1.7176413694423
12,1.11889405714193,0.878032927829849,0.877998612503789,1.35689705440329,1.71764083442832
