"roCo","roR","lambda_PBJ","lambda_PBR"
0,1,0.944482446434128,0.912928006230691
0.1,1,0.9470142181806,0.915326535775357
0.2,1,0.951712129234885,0.919690387969405
0.3,1,0.959613195797942,0.927361534211121
0.4,1,0.969882010506285,0.939002190502927
0.5,1,0.978335420639116,0.951406519634955
0.6,1,0.982662884640207,0.959820093977156
0.7,1,0.984129754964987,0.963854137876542
0.8,1,0.984282538524292,0.965311024742647
0.9,1,0.983958455311218,0.965593064851856
1,1,0.983518666205075,0.965423491005655
0,6,0.947441847015638,0.915034440276913
0.1,6,0.950621979999839,0.918017040951127
0.2,6,0.95613546063631,0.923182153881937
0.3,6,0.964961819941875,0.93188965977075
0.4,6,0.976000588632778,0.944605943235123
0.5,6,0.984907745378874,0.957733329596015
0.6,6,0.989608482870013,0.966596059739723
0.7,6,0.991456649931768,0.971041132814861
0.8,6,0.991948622007233,0.972878488546756
0.9,6,0.991891433185053,0.973470585920029
1,6,0.991648504217974,0.973532483429621
0,11,0.949430864987414,0.916482771767935
0.1,11,0.952983111502861,0.919818612389467
0.2,11,0.958943536594823,0.925446000140038
0.3,11,0.968245825775356,0.934716019078759
0.4,11,0.979631782762075,0.94796168270363
0.5,11,0.988698039727617,0.961381060121493
0.6,11,0.993530679864289,0.970393576808142
0.7,11,0.995533638083165,0.974991772990612
0.8,11,0.996174336137761,0.976989086830452
0.9,11,0.996239070882819,0.977720330213797
1,11,0.996087782883451,0.977889878443988
0,16,0.950918132121827,0.917584047915872
0.1,16,0.954719526949111,0.921165075682242
0.2,16,0.96097112041056,0.927103844023598
0.3,16,0.970572234609712,0.936739017297696
0.4,16,0.982158192363841,0.950308520175535
0.5,16,0.991298764062274,0.963882599127865
0.6,16,0.99619575241476,0.972962011506153
0.7,16,0.998285738282715,0.977639809789962
0.8,16,0.999015382960177,0.979729420528903
0.9,16,0.999156190770377,0.980545882040741
1,16,0.999063061200157,0.980782899503184
0,21,0.95209844817922,0.918469711520884
0.1,21,0.956081004307705,0.922234086930969
0.2,21,0.962540781152369,0.928401003847754
0.3,21,0.972350323574717,0.938297049905798
0.4,21,0.984066973375144,0.952088361943922
0.5,21,0.993246305934334,0.965755525776868
0.6,21,0.998180018449926,0.97486913383296
0.7,21,1.00032713412527,0.97959598228825
0.8,21,1.00111772036785,0.981747025767031
0.9,21,1.00131173425619,0.982622389718714
1,21,1.00126127271056,0.982908447396244
0,26,0.953071882590515,0.91920826272318
0.1,26,0.957193813853217,0.923116809777574
0.2,26,0.963811543903421,0.929460185433662
0.3,26,0.973776366730787,0.939554221172067
0.4,26,0.985584792284533,0.953508086320886
0.5,26,0.994786154861429,0.96723700376871
0.6,26,0.999742584826787,0.976368852903284
0.7,26,1.00192969243349,0.981127577411163
0.8,26,1.00276585879131,0.983324019047985
0.9,26,1.00300114871278,0.984244561946356
1,26,1.00298349139611,0.984568146749251
0,31,0.95389662106617,0.919839915186953
0.1,31,0.958129983016759,0.923865877559077
0.2,31,0.964872515748964,0.930350866947986
0.3,31,0.974958369089776,0.94060157387553
0.4,31,0.98683490274378,0.9546806246237
0.5,31,0.996048571127274,0.968452171716232
0.6,31,1.00101919707499,0.977593096711682
0.7,31,1.00323731854842,0.982375637555383
0.8,31,1.00410855084414,0.984606423213858
0.9,31,1.0043763114979,0.9855623485499
1,31,1.00438546621743,0.985916521306712
0,36,0.954610085382249,0.920390922414429
0.1,36,0.958934632783759,0.924514591007166
0.2,36,0.965778955021077,0.931116536168022
0.3,36,0.975962161963749,0.941494954620251
0.4,36,0.987891134946765,0.955673762989271
0.5,36,0.997111323481883,0.969475891072083
0.6,36,1.00209224684726,0.978622052110872
0.7,36,1.00433344070429,0.983421088730739
0.8,36,1.00523316005655,0.985679393528721
0.9,36,1.00552738387532,0.986664177244279
1,36,1.00555932777779,0.987044206750058
0,41,0.95523668049596,0.920878403601334
0.1,41,0.959637886627448,0.925085305134837
0.2,41,0.966566596035106,0.931785497845466
0.3,41,0.976830626264233,0.942270925947332
0.4,41,0.988801184569353,0.95653142555929
0.5,41,0.998024378997321,0.970356241929896
0.6,41,1.00301174279423,0.979503778981437
0.7,41,1.00527190867435,0.984315874052892
0.8,41,1.00619501710362,0.986596672336712
0.9,41,1.00651191670956,0.987605982788736
1,41,1.00656270454097,0.988007594172523
0,46,0.955793959118248,0.921314831996706
0.1,46,0.960260395250632,0.925593496269103
0.2,46,0.967261334942762,0.932378414152092
0.3,46,0.977593123832111,0.942954610162773
0.4,46,0.989597208864487,0.957283184851505
