"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
1,1.11889405495433,0.878074793081415,0.878018659652318,1.3115716106304,1.71764133032902
2,1.11889405652054,0.878103902027988,0.878032346076707,1.25449297347274,1.7176412356715
3,1.11889405616627,0.878171769379821,0.878062972917607,1.08911383784829,1.71764165026433
4,1.1188940569009,0.911631630681061,0.892393268630938,0.0843030238373306,1.7176429365906
5,1.11889405631746,0.94695209465976,0.91468192436794,0.0855949898362358,1.71763971747883
6,1.11889402039082,0.958710196928513,0.923865968782909,0.0843805428650862,1.71763534531625
7,1.118894021128,0.963410562721997,0.92801953910713,0.0852126781688506,1.71763512635423
8,1.11889400976813,0.965872947953025,0.930332470974732,0.0820202665621187,1.71763603369147
9,1.11889402444532,0.967361663996496,0.931780514106958,0.0827254207479317,1.71763582841235
10,1.11889402359151,0.968347447421653,0.932761255158658,0.0845119421957251,1.71763551701582
11,1.11889401933893,0.969042782076608,0.933464315814447,0.0836519871523511,1.71763553856016
12,1.11889402193973,0.969556447608199,0.933989902981894,0.0835327621061022,1.71763613797544
13,1.11889405714735,0.969949792008258,0.934395952216647,0.0823023372750249,1.71763789829153
14,1.11889402538657,0.970260141638521,0.934718133563425,0.0818464472483174,1.71763676101022
15,1.11889405754117,0.970510892808828,0.93497917867039,0.075012960149069,1.71763776283017
16,1.11889405816276,0.97071815147,0.935194696959092,0.0808825892740664,1.71764061974844
17,1.11889405736987,0.970892522078391,0.935374950633809,0.0834099235411467,1.71763829769111
18,1.11889405613411,0.97104207564136,0.935528077061483,0.063927806384975,1.71763729422632
19,1.11889405780768,0.971172518559313,0.935659620735139,0.085530577345786,1.7176403864096
20,1.11889399891781,0.971287852220666,0.93577353819859,3.91149680695061e-08,1.71763544960049
21,1.11889401451743,0.971391338275265,0.935873456158374,1.41790976176681e-08,1.71763731495327
22,1.11889405548603,0.97148533258168,0.935961801808179,5.17294964231315e-09,1.71764099021946
23,1.11889401541768,0.971571827966087,0.936040602929945,1.9116232310379e-09,1.71763601756019
24,1.11889405677958,0.971652001727247,0.936111384345345,6.96173347892016e-10,1.71764007036078
25,1.11889405645485,0.971727104176215,0.936175482046211,2.62151523818981e-10,1.7176373334775
26,1.11889405551486,0.971798080888608,0.936234153823665,1.12919751584699e-10,1.71763715496759
27,1.11889405742361,0.971865535464073,0.936288172877195,6.81247384784358e-11,1.71764014740737
28,1.11889405747357,0.971929990234771,0.936338298287044,3.85186021583311e-11,1.71764014578518
29,1.11889405779341,0.971991918134923,0.936385206977069,0.0853445993196755,1.71764003795603
30,1.11889401885154,0.972051628516498,0.936429351981757,NA,1.71763395844652
31,1.11889405764452,0.972109396185518,0.936471290641574,NA,1.71764007925709
32,1.11889405780877,0.972165462693992,0.936511320160708,NA,1.71764010564241
33,1.11889405761327,0.972220014775232,0.936549811595774,NA,1.71764011463014
34,1.11889405891718,0.972273162474692,0.936586971432778,NA,1.71764028083082
35,1.11889401086827,0.972325165148099,0.936623192893691,NA,1.71763640035079
36,1.11889405793524,0.972375839295336,0.936658493235008,0.0852633973278308,1.71764013695412
37,1.11889405830546,0.972425501844153,0.936693120619002,NA,1.71764011926573
38,1.11889401599059,0.972474201735371,0.936727173302704,0.0766282957085895,1.7176353105548
39,1.11889400637372,0.97252189150965,0.936760863787794,NA,1.71763351334526
40,1.11889399169929,0.972568634914608,0.936794189812431,NA,1.71763037519453
41,1.11889405393204,0.972614510083815,0.936827289652794,NA,1.71763708627076
42,1.11889401356984,0.97265972575656,0.936860342674472,NA,1.71763693115263
43,1.11889405642072,0.97270386113293,0.936893008708492,NA,1.71763724379913
44,1.11889405665402,0.972747382778689,0.936925817857349,NA,1.71763999533132
45,1.11889401333343,0.972790136227469,0.936958421991394,0.0856436202100893,1.71763536770929
46,1.11889405650472,0.9728320554632,0.936991061475363,NA,1.71763737729217
47,1.1188940539303,0.972873303043701,0.937023717613234,0.0856579746992483,1.71763699167281
48,1.1188940564725,0.972913881212088,0.937056377189575,NA,1.71763741914465
49,1.11889405756476,0.972953681463568,0.937088955317841,NA,1.7176374227353
50,1.11889405752471,0.972992878329535,0.937121675895961,NA,1.71763733779244
51,1.11889405672386,0.973031486790595,0.937154527835652,0.0845420826153302,1.71763740583359
52,1.11889405670954,0.973069380638434,0.937187312032019,0.0846212715289701,1.71763742788164
53,1.11889405665947,0.973106640177528,0.937220123886841,0.0844790228078574,1.7176374285818
54,1.11889405765017,0.973143276003797,0.937252948723492,NA,1.71763748139372
55,1.1188940573785,0.973179304952797,0.937285816951346,0.0753660668756226,1.71764043963163
56,1.11889401269535,0.973214841693306,0.93731874822479,0.0828213001112307,1.71763694870647
