"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0.1,0.806392108605527,0.914955242291404,0.882952310965789,1.08152137017354,1.31986731910407
0.2,0.843761380688438,0.91540549395291,0.883129589473291,1.08127197366767,1.31986729857249
0.3,0.888975246510637,0.916105243838248,0.883403354156783,1.08078007395719,1.31986732628622
0.4,0.937308445771927,0.917136688090787,0.883805920864434,1.07989234363695,1.31986730127676
0.5,0.986239483944547,0.91860572312385,0.884380550196689,1.07835765999066,1.31986729392641
0.6,1.03415889129615,0.920633774901509,0.885180579991335,1.07576950691856,1.31986729325471
0.7,1.07962284544974,0.923341488985373,0.886266578452557,1.07145319695225,1.31986729457471
0.8,1.12097725619977,0.926836399531647,0.887705772813339,1.06420037677678,1.31986727849114
0.9,1.15616322945305,0.931268041787702,0.889600532500788,1.05145146344229,1.31986729606916
1,1.18265636618949,0.937286254721653,0.892317120275773,1.02545941184797,1.31986729983331
