"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.986239489618229,0.918613561349247,0.884382250476656,1.07835766043225,1
0.1,0.98623948703751,0.918612870293646,0.884382100088975,1.07835766068041,1.09437983248479
0.2,0.986239489075306,0.918611679498604,0.884381847527325,1.07835766008047,1.18240401616427
0.3,0.986239487542926,0.918610014869009,0.884381494733668,1.078357660187,1.25067058934135
0.4,0.986239485656736,0.918608270347132,0.884381119062918,1.07835766022035,1.29189994089105
0.5,0.986239485179548,0.918606817202185,0.88438079787302,1.07835766001297,1.31167607681414
0.6,0.986239484689047,0.918605723369045,0.884380550762281,1.07835765997706,1.31986730205451
0.7,0.986239483623795,0.918604907693472,0.88438036230534,1.0783576599541,1.32302735817058
0.8,0.986239483305483,0.918604283367704,0.884380216361158,1.0783576599957,1.32421110705941
0.9,0.986239481666024,0.918603788712649,0.884380098618098,1.07835766016434,1.32464953701572
1,0.986239482436058,0.918603385743552,0.884380002806798,1.0783576600151,1.32481121766239
