"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.986239483944547,0.91860572312385,0.884380550196689,1.07835765999066,1.31986729392641
0.1,0.986239486177216,0.918607675420445,0.884380978605897,1.07835766006676,1.29017911184771
0.2,0.98623948518627,0.918609510469484,0.88438137562293,1.07835766044385,1.25082598731954
0.3,0.986239488318616,0.918611114849427,0.884381722054727,1.07835766020694,1.19829918874211
0.4,0.986239489093781,0.918612360945007,0.884381989703179,1.07835766026991,1.1313954887996
0.5,0.986239486855775,0.918613203257532,0.884382170141012,1.07835766070263,1.05321246885931
0.6,0.986239489211575,0.918613713477811,0.884382283601347,1.07835766048908,0.969719456233002
0.7,0.986239489266662,0.918614005679245,0.884382349969433,1.07835766040071,0.886474322537813
0.8,0.986239488939308,0.918614174935492,0.884382390304304,1.07835766058879,0.806972749020723
0.9,0.98623948987815,0.918614279004059,0.884382416057176,1.07835766038004,0.732861933195915
1,0.986239490198767,0.918614348192715,0.884382435350818,1.07835766039836,0.664668928120061
