"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
0,0.797288038037283,0.878054773818621,0.878009255284237,1.34981232876794,1.71764095274845
0.01,0.806248982745259,0.878054794692068,0.878009267884633,1.34980954751357,1.71764121271958
0.02,0.814719034828793,0.878054806328225,0.878009270981692,1.34980672619021,1.71764094244196
0.03,0.822765058419407,0.878054821826115,0.878009278250249,1.34980379321415,1.71764080191504
0.04,0.830440392582312,0.878054840093645,0.878009287200697,1.34980074979232,1.71764105089813
0.05,0.837788420370927,0.878054864223368,0.878009302037027,1.34979760823596,1.71764129915187
0.06,0.844844764615002,0.878054874955883,0.878009303763221,1.34979442056173,1.71764092254443
0.07,0.851639529056163,0.878054895330576,0.878009314744105,1.34979112329272,1.71764076229343
0.08,0.858197802571941,0.878054911396308,0.878009321041074,1.34978768672852,1.71764112826461
0.09,0.864541163828759,0.878054932321672,0.878009331945881,1.34978422419134,1.71764064392353
0.1,0.87068802182922,0.878054949039926,0.878009338796514,1.34978058227242,1.71764115608586
0.11,0.876654456486741,0.878054972252273,0.878009351810413,1.34977688393803,1.71764119498208
0.12,0.882454369180532,0.878054991064836,0.878009360195532,1.34977309257508,1.71764121707726
0.13,0.88810005008312,0.878055010779862,0.8780093691692,1.3497692518667,1.71764054474048
0.14,0.893602314953276,0.878055030359677,0.878009378105821,1.34976520375386,1.71764126887024
0.15,0.898970785815971,0.87805504956624,0.8780093862242,1.34976113627642,1.71764091977247
0.16,0.904214031068228,0.878055068857573,0.878009394321548,1.34975690964121,1.71764133773561
0.17,0.9093397472713,0.878055090276693,0.878009404323633,1.34975261451062,1.71764132465732
0.18,0.914354853376827,0.878055115148114,0.878009417664342,1.34974827264465,1.71764062785216
0.19,0.919265576262107,0.878055139539962,0.878009430183249,1.34974371955277,1.71764125339841
0.2,0.924077594387921,0.878055162742096,0.878009441382588,1.3497392116784,1.71764006769528
0.21,0.928796050304357,0.87805518322396,0.878009449612647,1.34973447511079,1.71764039559537
0.22,0.933425657833342,0.878055205881022,0.878009459833824,1.34972958838506,1.71764130821038
0.23,0.937970727644471,0.878055231570275,0.878009472857417,1.34972469580439,1.71764089020177
0.24,0.942435203272063,0.878055257808398,0.878009486299791,1.34971969480656,1.71764055911728
0.25,0.946822713714744,0.878055278347222,0.878009493710072,1.34971454839418,1.71764072143847
0.26,0.951136626504021,0.878055308806777,0.878009510459485,1.34970927046876,1.71764114729461
0.27,0.955380031239767,0.878055327437587,0.878009515962392,1.34970396877726,1.71764056419163
0.28,0.959555805157826,0.878055353284548,0.878009527984801,1.34969845072066,1.7176413051607
0.29,0.963666619452947,0.878055380970452,0.87800954177325,1.34969291542386,1.71764083414257
0.3,0.967714948549085,0.878055408217483,0.878009555209964,1.34968719437507,1.7176413747393
0.31,0.971703111673912,0.878055431890574,0.878009564583337,1.34968144725852,1.717640781545
0.32,0.975633260674509,0.878055460813279,0.878009578491609,1.34967548074413,1.7176415489882
0.33,0.979507414292409,0.878055490202032,0.878009592918944,1.34966954234596,1.71764067094794
0.34,0.983327468034904,0.878055519887305,0.878009607371852,1.34966338657931,1.71764099500407
0.35,0.987095190038763,0.878055547088575,0.878009619753222,1.34965714112765,1.7176411072223
0.36,0.990812249271391,0.878055574503757,0.878009631536723,1.34965074759198,1.7176415632096
0.37,0.994480209622741,0.878055602346031,0.878009643768893,1.34964434102299,1.71764081604009
0.38,0.99810054429507,0.878055630289493,0.878009655688351,1.34963772225564,1.71764128933604
0.39,1.00167464918164,0.878055659168956,0.878009668698032,1.34963104538122,1.7176410212169
0.4,1.00520383449616,0.878055686050636,0.878009678833296,1.34962423469012,1.71764095962374
0.41,1.00868933867823,0.878055717143832,0.878009693336781,1.34961729186467,1.71764118010775
0.42,1.01213233831232,0.878055750289879,0.878009710529729,1.34961023556693,1.7176413153442
0.43,1.01553394656709,0.878055782402928,0.878009724560789,1.34960307281837,1.71764126314065
0.44,1.01889521034833,0.878055815245489,0.878009740112028,1.34959583798651,1.71764076255168
0.45,1.02221713600137,0.878055850466454,0.878009758155957,1.34958841903102,1.7176410037351
0.46,1.02550066970551,0.878055880727627,0.878009770329964,1.34958093233498,1.71764062880234
0.47,1.02874671583693,0.878055912914296,0.878009784461941,1.34957331595399,1.71764041518973
0.48,1.0319561277851,0.878055944899318,0.87800979813288,1.34956549445742,1.71764123762998
0.49,1.03512972907496,0.878055978437808,0.878009812952034,1.34955763786614,1.71764105889255
0.5,1.03826829575571,0.878056016196934,0.87800983223823,1.34954966259312,1.71764084250342
0.51,1.04137256842406,0.878056045922566,0.87800984361111,1.34954151525221,1.71764128432462
0.52,1.04444325860052,0.878056079311123,0.878009857248426,1.34953328425709,1.71764120277551
0.53,1.04748103924549,0.878056117006454,0.878009875454466,1.34952495787711,1.71764095567455
0.54,1.05048655832643,0.878056153934304,0.878009892760712,1.34951645454318,1.71764126795672
0.55,1.05346043258387,0.878056187535227,0.878009905595246,1.34950784102204,1.7176415220943
0.56,1.05640325278284,0.878056222602193,0.878009921342851,1.34949917565389,1.7176408648598
0.57,1.05931558400316,0.878056265049973,0.878009943380168,1.34949029720302,1.71764140309063
0.58,1.06219796701916,0.878056297806158,0.878009955508535,1.34948139867379,1.71764061101011
0.59,1.06505092019004,0.87805633463538,0.878009971493431,1.34947226146831,1.71764135432915
0.6,1.06787494194905,0.878056372717931,0.878009988483204,1.34946305761012,1.71764135492767
0.61,1.07067050811378,0.878056411199026,0.878010005631033,1.34945373170255,1.71764135184898
0.62,1.0734380759946,0.878056450097022,0.878010022957685,1.34944428313593,1.71764135107766
0.63,1.07617808485282,0.878056493927574,0.878010044892729,1.34943471811599,1.71764121752056
0.64,1.07889095585113,0.878056530911537,0.87801005993842,1.34942503412337,1.71764114918298
0.65,1.08157709384165,0.878056567134947,0.878010073891434,1.34941521175595,1.71764115939594
0.66,1.08423688849033,0.878056611220163,0.878010095377424,1.34940525730264,1.71764137665377
0.67,1.08687071313053,0.878056650192039,0.878010111545139,1.34939520483866,1.71764122562314
0.68,1.08947892835525,0.878056694755896,0.878010133151391,1.34938499193523,1.71764154999154
0.69,1.09206187964384,0.878056733125573,0.878010148376313,1.34937471878655,1.7176411208769
0.7,1.09461990167819,0.878056779755001,0.878010171412161,1.34936425514093,1.7176415632966
0.71,1.09715331374293,0.878056818388576,0.878010186357972,1.34935375573172,1.71764081652216
0.72,1.09966242479922,0.878056861112581,0.878010205227366,1.34934307915535,1.7176408264804
