"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
0.1,0.930378021623982,0.87805470502007,0.878009205752599,1.34977105416229,1.71764197811229
0.2,0.957283838812189,0.878054867972916,0.878009283411756,1.34974565326258,1.71764146918846
0.3,0.987043366770935,0.878055091059601,0.87800938848318,1.34970697195358,1.71764215041194
0.4,1.01987014569143,0.878055411134148,0.878009538082453,1.34964686628714,1.71764182423845
0.5,1.05582782245239,0.878055885718117,0.878009758580544,1.34955090893583,1.71764144675753
0.6,1.09463149498482,0.878056605592643,0.878010086638691,1.34939395307938,1.71764109551257
0.7,1.13522203301997,0.878057735789746,0.878010593241361,1.34913155601108,1.7176422298505
0.8,1.17477738784941,0.878059558796597,0.878011406064948,1.34868622615821,1.71764145165014
0.9,1.20599750645071,0.878062524357204,0.878012704905033,1.34792560015206,1.71764194304283
1,1.20621768811532,0.878067363749789,0.878014815901462,1.34664445130176,1.71764173910292
